Name	Constellation	Class	Element	Rarity	S1Name	S1Description	S1Cooldown	S1Enhancement	S1Type	S1SoulBurn	S1SoulsRequired	S2Name	S2Description	S2Cooldown	S2Enhancement	S2Type	S2SoulBurn	S2SoulsRequired	S3Name	S3Description	S3Cooldown	S3Enhancement	S3Type	S3SoulBurn	S3SoulsRequired	Attack	Health	Defence	Speed	CritChance	CritDamage	DualAttackChance	Effectiveness	EffectResistance
Alencia	Cancer	Warrior	Earth	5	Eradicate	"Batters the enemy, with a 60% chance to decrease enemy Defense for 1 turn. Damage dealt increases proportional to the caster's max Health."	0	+5% damage dealt+15% effect chance+10% damage dealt+10% effect chance+15% damage dealt	Active	Increases effect chance to 100% and decreases Defense of the target for 2 turns. (-10 Souls)	1	Noble-Blood	"At the start of the turn, has a 100% chance to grant Mind's Eye to the caster for 1 turn. After using Eradicate, when the caster is granted Mind's Eye, activates Trample. Trample: Strikes the enemy, inflicting injuries. Damage dealt increases proportional to the caster's max Health. The severity of injuries decrease the max Health of the target by up to 10% every time the skill is used. Mind's Eye: Increases Effectiveness by 50%. Cannot be dispelled."	0	+5% damage dealt+10% effect chance+10% effect chance+15% effect chance+15% damage dealt	Passive		0	Genesis	"Attacks all enemies with Dragon's Might, dispelling all buffs and granting increased Defense to all allies for 2 turns. Increases Combat Readiness of the caster by 50%. Damage dealt increases proportional to the caster's max Health."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+5% damage dealt+15% damage dealt	Active		0									
Baiken	Scorpio	Thief	Earth	5	Tatami-Gaeshi	"Attacks the enemy repeatedly, with a 45% chance each to inflict two bleed effects for 2 turns. A critical hit will reduce the caster's skill cooldown by 1 turn."	0	+5% damage dealt+10% effect chance+10% damage dealt+15% effect chance+15% damage dealt	Active		0	Tsurane-Sanzu-Watashi	"Attacks the enemy with expert swordsmanship, with a 55% chance each of inflicting three bleed effects for 2 turns. One bleed effect ignores Effect Resistance. A critical hit will grant an extra turn."	4	+15% damage dealt+10% effect chance+10% damage dealt+15% effect chance+15% damage dealt	Active		0	Garyo-Tensei	"Delivers a deadly blow, detonating any bleed effects inflicted on the enemy at the end of the turn. A critical hit increases the combat readiness of all allies by 15%."	5	+5% damage dealt+5% Combat Readiness+10% damage dealt+5% Combat Readiness+15% damage dealt	Active	Increase damage dealt (-10 Souls)	1									
Basar	Aquarius	Mage	Earth	5	Sand-Wind	"Attacks with magic, with a 50% chance to transfer one debuff from the caster to the enemy before inflicting a random debuff for 2 turns."	0	+5% damage dealt+10% Transfer Chance+15% Transfer Chance+10% damage dealt+15% damage dealt	Active		0	Hurricane	"Attacks all enemies by releasing a hot sand hurricane, with a 60% chance to decrease Hit Chance and Attack for 2 turns."	3	+5% damage dealt+5% effect chance+10% effect chance+10% damage dealt+15% damage dealt	Active		0	Sandstorm	"Attacks all enemies with sand magic, dispelling all buffs, and making them unable to be buffed for 2 turns, before decreasing Combat Readiness by 30%."	5	+5% damage dealt+10% damage dealt-1 turn cooldown+10% damage dealt+15% damage dealt	Active	Ignores Effect Resistance	2									
Bellona	Capricorn	Ranger	Earth	5	Windbreak-Fan	"Attacks the enemy with a fan, dealing damage proportional to the enemy's max Health. If the caster's stacked Focus is more than 5, loses all Focus and activates Razorwind Fan."	0	+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt+10% damage dealt	Active		0	Butterfly-Fan	Attacks all enemies by waving a fan. Damage dealt increases with more enemies. Grants the caster immunity for 1 turn after attacking.	3	+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt+10% damage dealt	Active		0	Razorwind-Fan	"Attacks all enemies by creating a powerful gust of wind, with a 65% chance to decrease Defense for 2 turns. Effect chance increases by 20% when Razorwind Fan is triggered by Windbreak Fan."	6	+5% damage dealt+5% effect chance-1 turn cooldown+10% effect chance+15% damage dealt	Active	Increase damage dealt (-10 Souls)	1									
Celine	Scorpio	Thief	Earth	5	Uppercut	Attacks the enemy with a sheath. A critical hit will increase damage dealt.	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Intuition	"After an enemy uses a non-attack skill, dispels all debuffs from the caster and attacks a random enemy with Blink. Can be activated once every 2 turns. Blink - Cuts the enemy in the blink of an eye and increases Combat Readiness of the caster by 20%. When the enemy is not an Elite or Boss monster, damage sharing effects are ignored."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Passive		0	Thunderclap	"Repeatedly slashes at the enemy before triggering an explosion, absorbing some of the damage dealt as Health. Increases Evasion and grants a barrier to the caster for 2 turns. Barrier strength increases proportional to the caster's Attack."	4	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Increase damage dealt (-10 Souls)	1									
Charles	Gemini	Knight	Earth	5	Slash	"Attacks with a giant sword, with a 50% chance to decrease Attack for 1 turn. After using this skill, has a 25% chance to activate Smash as an extra attack. Chance to activate Smash is doubled when the enemy is buffed."	0	+5% damage dealt+5% damage dealt+10% effect chance+10% damage dealt+10% damage dealt	Active		0	Smash	"Attacks the enemy repeatedly with a giant sword, with a 80% chance to dispel all buffs. Damage dealt increases proportional to number of buffs granted to the caster."	3	+10% damage dealt+10% effect chance+10% damage dealt+10% effect chance+10% damage dealt	Active		0	Faithful-Strike	"Attacks all enemies with a swordstorm, increases Attack of all allies for 2 turns. Additionally increases Defense of the caster for 2 turns. When there are three or fewer enemies, damage dealt increases as enemies become fewer."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Extends duration of buffs granted by this skill for 1 turn. (-10 Souls)	1									
Ervalen	Scorpio	Thief	Earth	5	Vengeance	"Rapidly attacks the enemy, with a 35% chance to decrease Defense for 2 turns."	0	+5% damage dealt+5% effect chance+10% damage dealt+10% effect chance+15% damage dealt	Active		0	Sword-of-Hatred	"Attacks the enemy repeatedly and grants the caster immunity for 1 turn. When the enemy's max Health is greater than the caster's max Health, Combat Readiness of the caster increases proportional to the difference up to a maximum of 30%."	2	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active	Increase damage dealt (-10 Souls)	1	Heir-to-the-Throne	"Attacks the enemy with a sword, adopting a counterattacking stance and granting a barrier to the caster for 2 turns. When the enemy is defeated, extends buff duration of the caster by 1 turn and grants an extra turn. When the enemy's max Health is greater than the caster's max Health, damage dealt increases proportional to the difference, up to a maximum of 70%. Barrier strength increases proportional to the caster's Attack."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active		0									
Bomb-Model-Kanna	Gemini	Ranger	Fire	5	Quick-Bombardment	Rapidly fires to attack two enemies. Damage dealt increases proportional to the caster's Speed.	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Stance-Shift	"When Full Bombardment! is available at the start of the turn, takes a Shelling Stance. When Full Bombardment! is unavailable at the start of the turn, takes a Striking Stance. Can only take one stance at a time. Shelling Stance: Increases Effectiveness by 40%. Striking Stance: Increases Speed and Dual Attack chance by 5%."	0	+1% all stats+2% all stats+2% all stats+2% all stats+3% all stats	Passive		0	Full-Bombardment	"Boosts firepower to attack all enemies, with a 90% chance to dispel one buff, before increasing Speed of all allies for 2 turns and increasing Attack of the caster for 2 turns."	4	+5% damage dealt+10% effect chance-1 turn cooldown+10% damage dealt+15% damage dealt	Active	Extends duration of buffs granted by this skill for 1 turn. (-10 Souls)	1									
Cecilia	Aries	Knight	Fire	5	Deliverance	"Attacks with a spear, with a 35% chance to decrease Defense for 2 turns. When the target is inflicted with decreased Attack, effect chance increases by 25%. Damage dealt increases proportional to the caster's max Health."	0	+5% damage dealt+5% effect chance+10% damage dealt+10% effect chance+15% damage dealt	Active		0	Steel-Cloudburst	"Attacks all enemies with a magical spear, with an 85% chance to decrease Attack for 2 turns, before dispelling one buff. Damage dealt increases proportional to the caster's max Health."	3	+5% damage dealt+5% effect chance+10% damage dealt+10% effect chance+15% damage dealt	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1	Ruinous-Retribution	"Attacks all enemies with a spear infused with dark energy, with a 85% chance to provoke for 1 turn, before granting immunity to all allies for 2 turns and a barrier to the caster for 2 turns. Damage dealt and barrier strength increases proportional to the caster's max Health."	5	+10% damage dealt+5% effect chance-1 turn cooldown+10% effect chance+15% damage dealt	Active		0									
Cermia	Leo	Warrior	Fire	5	Playing-with-Fire	"Attacks with a flaming sword, with a 55% chance to make the target unhealable for 1 turn."	0	+15% damage dealt+5% effect chance+5% damage dealt+5% effect chance+10% damage dealt+10% effect chance+10% damage dealt	Active		0	Hot-Streak!	"Shoots fire, granting the caster Increase Attack (Greater), resetting the cooldown of All-In!, and granting an extra turn."	5	-1 turn cooldown	Active		0	All^In	"Attacks with a blazing inferno, penetrating Defense by 50%."	5	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active	Increase damage dealt (-10 Souls)	1									
Edward-Elric	Aries	Warrior	Fire	5	I'll-Take-You-On!	"Attacks the enemy with a transmuted blade, and grants a barrier to the caster for 1 turn. Damage dealt and barrier strength increase proportional to the caster's max Health."	0	+5% damage dealt+10% barrier strength+10% damage dealt+15% barrier strength+15% damage dealt	Active		0	Equivalent-Exchange	"After being attacked, when the caster has a debuff, dispels one debuff and activates Rise!. Rise!: Attacks all enemies with ground thorns, dispelling one buff and inflicting a random debuff for 2 turns, before increasing Combat Readiness of the caster by 20%. Damage dealt increases proportional to the caster's max Health.(Random Debuff: Decreased Hit Chance, Decreased Attack, Provoke, Silence, Restrict)"	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Passive		0	I'll-Show-You-Our-Difference	"Attacks the enemy together with Alphonse, and increases Combat Readiness of the caster by 50%. When the enemy is not an Elite or Boss monster, damage sharing effects are ignored. Damage dealt increases proportional to the caster's max Health. Damage dealt increases every time this skill is used and can stack up to 3 times."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1									
Elphelt	Capricorn	Ranger	Fire	5	Barrage	"Fires a barrage of bullets at the enemy, with a 65% chance to make them unable to be buffed for 1 turn."	0	+5% damage dealt+5% damage dealt+10% effect chance+10% damage dealt+10% damage dealt	Active		0	Judge-Better-Half	"Traps the enemy in a cake, before attacking them with a cake-cutting blade and increasing Attack of all allies for 2 turns. When the enemy is asleep, decreases Defense of all enemies for 2 turns. Damage dealt increases proportional to the number of debuffs inflicted on the enemy."	4	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Magnum-Wedding	"Dispels two buffs from the enemy before shooting a bullet of love, with a 75% chance to put them to sleep and decrease Defense for 2 turns. Grants the caster an extra turn."	5	+5% damage dealt+10% effect chance-1 turn cooldown+15% effect chance+15% damage dealt	Active	Ignores Effect Resistance	2									
Holiday-Yufine	Libra	Warrior	Fire	5	Just-One-Bite!	"Attacks the enemy by tearing up a food market, with a 50% chance to burn for 1 turn. When used on the caster's turn. Just One Bite! ❤ becomes an attack that targets all enemies. Changed attack is unaffected by elemental disadvantage and does not trigger a Dual Attack."	0	+5% damage dealt+5% effect chance+10% damage dealt+10% effect chance+15% damage dealt	Active		0	Let's-Eat-Together	"Reduces the effect of decreased Combat Readiness debuffs inflicted on all allies by 30%. This skill effect does not stack with other passive skills of the same name. Increases Evasion by 35%, and increases Evasion by an additional 35% when the caster is at max Health."	0	-2% Combat Readiness decrease-3% Combat Readiness decrease-4% Combat Readiness decrease-5% Combat Readiness decrease-6% Combat Readiness decrease	Passive		0	Yufine's-☆-Special	Dispels two debuffs from all allies and attacks all enemies in the middle of the night market. Increases Attack of all allies for 2 turns and Combat Readiness by 20%.	5	+5% damage dealt+5% damage dealt-6% Combat Readiness decrease+5% damage dealt+15% damage dealt	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1									
Hwayoung	Libra	Warrior	Fire	5	Supersonic-Kick	"Attacks the enemy with a kick. When the caster is buffed, inflicts additional damage proportional to the caster's Attack."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Prairie-Hawk	"The caster cannot trigger a critical hit, but Attack increases by 20%. Damage suffered from a critical hit decreases by 30%. When more than one damage reduction effect is granted, only the strongest effect is applied. At the start of the battle and at the end of the turn, grants a barrier to the caster for 1 turn. Barrier strength increases proportional to the caster's Attack."	0	+1% Attack+2% Attack+2% Attack+2% Attack+3% Attack	Passive		0	Emperor's-Flaming-Strike	"After dispelling all debuffs from the caster, attacks the enemy with a secret technique and grants immunity to the caster for 2 turns. When the target's max Health is greater than the caster's max Health, penetrates the target's Defense, with penetration rate increasing proportional to the difference, up to a maximum of 100%."	5	+5% damage dealt+5% damage dealtSkill cooldown is decreased by 2 turns. (-10 Souls)+10% damage dealt+10% damage dealt	Active	Grants an extra turn. (-20 Souls)	2									
Ambitious-Tywin	Sagittarius	Knight	Light	5	Icy-Sword-Storm	"Attacks with a sword, with a 60% chance to provoke for 1 turn. Removes 4 Souls from the opponent. Damage dealt increases proportional to the caster's max Health."	0	+5% damage dealt+15% effect chance+10% damage dealt+15% damage dealt	Active		0	Battle-Command	Has a 75% chance to dispel one debuff from all allies when an ally is debuffed after the caster is attacked. Can only activate once per turn.	0	+5% dispel debuff effect chance+5% dispel debuff effect chance+5% dispel debuff effect chance+10% dispel debuff effect chance	Passive		0	Flash	"Attacks all enemies with an instant swordstorm, with a 65% chance each to to stun for 1 turn and decrease Speed for 2 turns. Damage dealt increases proportional to the caster's max Health."	5	+5% damage dealt+5% effect chance+5% damage dealt-1 turn cooldown+10% effect chance+5% damage dealt+15% damage dealt	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1									
Belian	Taurus	Knight	Light	5	Light-of-Destruction	"Attacks all enemies with a ray, with a 50% chance to dispel one buff. When used on the caster's turn, has a 35% chance to activate Incursion as an extra attack. Damage dealt increases proportional to the caster's max Health. Incursion: Attacks all enemies, decreasing Speed and Hit Chance for 1 turn. Damage dealt increases proportional to the caster's max Health."	0	+5% damage dealt+5% buff dispel chance+5% damage dealt+5% buff dispel chance+5% damage dealt+5% buff dispel chance+10% damage dealt	Active	Increases effect chance of activating Incursion to 100%. (-10 Souls)	1	Shackles-of-Suppression	"Decreases the amount of Souls gained by the enemy by 100%. At the start of the turn, has a 70% chance to grant a random buff to the caster for 1 turn. (Increase Effectiveness, Increase Critical Hit Chance, Continuous Healing)"	0	+2% effect chance+2% effect chance+3% effect chance+3% effect chance+5% effect chance+5% effect chance+10% effect chance	Passive		0	Apocalypse	"Attacks all enemies with the power of duties, decreasing Combat Readiness by a random amount between 20% and 40% and provokes for 1 turn. Increases Defense of the caster for 2 turns. Damage dealt increases proportional to the caster's max Health."	5	-1 turn cooldown	Active		0									
Commander-Pavel	Taurus	Ranger	Light	5	How-Sloppy	"Attacks the enemy with a gunblade, with a 65% chance to decrease Attack for 1 turn."	0	+5% damage dealt+5% damage dealt+10% effect chance+10% damage dealt+10% damage dealt	Active		0	Obstacle-Elimination	"At the start of the first battle, gains 60 Fighting Spirit. After an ally except for the caster makes a critical hit, gains 20 Fighting Spirit and when Fighting Spirit is full, consumes all Fighting Spirit to activate Begone!. This effect is not activated by a counterattack, Dual Attack or extra attack. Begone!: Increases Attack of the caster for 2 turns, and attacks all enemies by firing a gun, before increasing Combat Readiness of the caster by 50%."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Passive		0	"Die,-You-Fly"	"Attacks the enemy with a pistol. When the enemy is not an Elite or Boss monster, damage sharing effects are ignored. When the caster's Attack is greater than the target's Attack, penetrates the target's Defense with penetration rate increasing proportional to the difference, up to a maximum of 70%."	5	+5% damage dealt+5% damage dealt-1 turn cooldown+10% damage dealt+10% damage dealt	Active	Skill cooldown is decreased by 2 turns. (-10 Souls)	1									
Spirit-Eye-Celine	Sagittarius	Thief	Light	5	Mighty-Strike	"Attacks the enemy with a sheath. When this skill is used, if it was not triggered by a Dual Attack, has a 35% chance to use Nimble Sword instead of Mighty Strike. When the caster is possessed, effect chance is doubled. This skill does not trigger a Dual Attack. Nimble Sword: Dispels one debuff from the caster before swiftly attacking the enemy. Penetrates the target's Defense by 35%."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active	Grants an extra turn. (-20 Souls)	2	Sixth-Sense	"Damage suffered in one attack does not exceed 70% of max Health. Decreases skill cooldown by 1 turn when somebody dies, and acquires 5 Souls. Effects upon death are only activated once per turn, upon a Hero's death."	0	-2% max damage received-2% max damage received-2% max damage received-3% max damage received-3% max damage received-3% max damage received-4% max damage received	Passive		0	Spirit-Gate:-Burning-Possession	"Opens the gate of the spirits, dispelling all debuffs from the caster and making the caster possessed for 3 turns. Revives all dead allies before granting immortality to all allies for 1 turn."	6	-1 turn cooldown	Active		0									
Conqueror-Lilias	Aquarius	Warrior	Light	5	Kneel-Down	"Attacks the enemy with a sword, triggering a Dual Attack from a random ally."	0	+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+5% damage dealt+10% damage dealt	Active		0	Cover!	"Distracts the enemy, decreasing Combat Readiness by 25%, with up to a 70% chance to inflict redirected provoke for 1 turn. Grants a barrier to the caster and the ally except for the caster with the highest max Health for 2 turns. Barrier strength increases proportional to the ally's max Health."	4	+5% effect chance+5% effect chanceSkill cooldown is decreased by 2 turns. (-10 Souls)+5% effect chance+5% effect chance+10% effect chance	Active	Inflicts Redirected Provoke for 2 turns.	1	For-Honor!	"Encourages the Perland Army, granting vigor to all allies for 2 turns. Decreases buff duration of all enemies by 1 turn and has a 75% chance to decrease Attack for 2 turns. Grants an extra turn to the caster."	6	+10% effect chanceSkill cooldown is decreased by 2 turns. (-10 Souls)+15% effect chance	Active		0									
